6, 2-connected, gt, true, 1994, 47
6, 2-connected, mx, true, 5709, 48
6, 2-connected, cn, true, 4237, 49
6, 2-connected, cm, false, 2429, 50
6, 2-connected, nl, true, 3662, 51
6, 2-connected, gt, true, 995, 52
6, 2-connected, mx, false, 3096, 53
6, 2-connected, cn, true, 3828, 54
6, 2-connected, cm, false, 3935, 55
6, 2-connected, nl, true, 2447, 56
6, 2-connected, gt, true, 3908, 57
6, 2-connected, mx, true, 5538, 58
6, 2-connected, cn, true, 2253, 59
6, 2-connected, cm, false, 7101, 60
6, 2-connected, nl, true, 1419, 61
6, 2-connected, gt, true, 3533, 62
6, 2-connected, mx, true, 6508, 63
6, 2-connected, cn, true, 1766, 64
6, 2-connected, cm, true, 4051, 65
6, 2-connected, nl, true, 2848, 66
6, 2-connected, gt, true, 2881, 67
6, 2-connected, mx, false, 7629, 68
6, 2-connected, cn, true, 1748, 69
6, 2-connected, cm, false, 5381, 70
6, 2-connected, nl, true, 2142, 71
6, 2-connected, gt, true, 929, 72
6, 2-connected, mx, false, 5281, 73
6, 2-connected, cn, true, 3061, 74
6, 2-connected, cm, true, 4041, 75
6, 2-connected, nl, true, 1226, 76
6, 2-connected, gt, true, 1124, 77
6, 2-connected, mx, false, 2642, 78
6, 2-connected, cn, true, 2892, 79
6, 2-connected, cm, false, 2978, 80
6, match, mx, false, 28207, 131
6, match, cm, true, 21461, 132
6, match, gt, false, 30192, 133
6, match, mx, true, 15660, 134
6, match, cm, true, 19068, 135
6, match, gt, true, 19878, 136
6, match, mx, false, 23375, 137
6, match, cm, true, 14434, 138
6, match, gt, true, 21308, 139
6, match, mx, false, 16001, 140
6, match, cm, false, 21764, 141
6, match, gt, true, 9371, 142
6, match, mx, true, 15392, 143
6, match, cm, false, 19968, 144
6, match, gt, true, 6622, 145
6, match, mx, false, 20392, 146
6, match, cm, true, 15075, 147
6, match, gt, true, 11959, 148
6, match, mx, true, 17802, 149
6, match, cm, true, 14598, 150
6, match, gt, true, 9531, 151
6, match, mx, true, 20768, 152
6, match, cm, true, 22395, 153
6, match, gt, true, 16788, 154
6, match, mx, true, 20138, 155
6, match, cm, true, 25129, 156
6, match, gt, true, 3774, 157
6, match, mx, true, 20451, 158
6, match, cm, true, 25205, 159
6, match, gt, true, 4920, 160
6, dense, cm, true, 4695, 81
6, dense, nl, true, 7401, 82
6, dense, gt, true, 4075, 83
6, dense, mx, true, 1914, 84
6, dense, cn, true, 2179, 85
6, dense, cm, true, 1802, 86
6, dense, nl, true, 1328, 87
6, dense, gt, true, 1206, 88
6, dense, mx, true, 1523, 89
6, dense, cn, true, 1758, 90
6, dense, cm, true, 1389, 91
6, dense, nl, true, 1153, 92
6, dense, gt, true, 1704, 93
6, dense, mx, false, 1198, 94
